PassengerId,Pclass,Age,SibSp,Parch,Fare,Embarked_encoded,Sex_encoded
1,3,22.0,1,0,7.25,2,1
2,1,38.0,1,0,71.28,0,0
3,3,26.0,0,0,7.92,2,0
4,1,35.0,1,0,53.1,2,0
5,3,35.0,0,0,8.05,2,1
6,3,30.7,0,0,8.46,1,1
7,1,54.0,0,0,51.86,2,1
8,3,2.0,3,1,21.07,2,1
9,3,27.0,0,2,11.13,2,0
10,2,14.0,1,0,30.07,0,0
11,3,4.0,1,1,16.7,2,0
12,1,58.0,0,0,26.55,2,0
13,3,20.0,0,0,8.05,2,1
14,3,39.0,1,5,31.27,2,1
15,3,14.0,0,0,7.85,2,0
16,2,55.0,0,0,16.0,2,0
17,3,2.0,4,1,29.12,1,1
18,2,30.7,0,0,13.0,2,1
19,3,31.0,1,0,18.0,2,0
20,3,27.9,0,0,7.22,0,0
21,2,35.0,0,0,26.0,2,1
22,2,34.0,0,0,13.0,2,1
23,3,15.0,0,0,8.03,1,0
24,1,28.0,0,0,35.5,2,1
25,3,8.0,3,1,21.07,2,0
26,3,38.0,1,5,31.39,2,0
27,3,30.7,0,0,7.22,0,1
28,1,19.0,3,2,263.0,2,1
29,3,27.9,0,0,7.88,1,0
30,3,30.7,0,0,7.9,2,1
31,1,40.0,0,0,27.72,0,1
32,1,27.9,1,0,146.52,0,0
33,3,27.9,0,0,7.75,1,0
34,2,66.0,0,0,10.5,2,1
35,1,28.0,1,0,82.17,0,1
36,1,42.0,1,0,52.0,2,1
37,3,30.7,0,0,7.23,0,1
38,3,21.0,0,0,8.05,2,1
39,3,18.0,2,0,18.0,2,0
40,3,14.0,1,0,11.24,0,0
41,3,40.0,1,0,9.47,2,0
42,2,27.0,1,0,21.0,2,0
43,3,30.7,0,0,7.9,0,1
44,2,3.0,1,2,41.58,0,0
45,3,19.0,0,0,7.88,1,0
46,3,30.7,0,0,8.05,2,1
47,3,30.7,1,0,15.5,1,1
48,3,27.9,0,0,7.75,1,0
49,3,30.7,2,0,21.68,0,1
50,3,18.0,1,0,17.8,2,0
51,3,7.0,4,1,39.69,2,1
52,3,21.0,0,0,7.8,2,1
53,1,49.0,1,0,76.73,0,0
54,2,29.0,1,0,26.0,2,0
55,1,65.0,0,1,61.98,0,1
56,1,30.7,0,0,35.5,2,1
57,2,21.0,0,0,10.5,2,0
58,3,28.5,0,0,7.23,0,1
59,2,5.0,1,2,27.75,2,0
60,3,11.0,5,2,46.9,2,1
61,3,22.0,0,0,7.23,0,1
62,1,38.0,0,0,80.0,3,0
63,1,45.0,1,0,83.47,2,1
64,3,4.0,3,2,27.9,2,1
65,1,30.7,0,0,27.72,0,1
66,3,30.7,1,1,15.25,0,1
67,2,29.0,0,0,10.5,2,0
68,3,19.0,0,0,8.16,2,1
69,3,17.0,4,2,7.92,2,0
70,3,26.0,2,0,8.66,2,1
71,2,32.0,0,0,10.5,2,1
72,3,16.0,5,2,46.9,2,0
73,2,21.0,0,0,73.5,2,1
74,3,26.0,1,0,14.45,0,1
75,3,32.0,0,0,56.5,2,1
76,3,25.0,0,0,7.65,2,1
77,3,30.7,0,0,7.9,2,1
78,3,30.7,0,0,8.05,2,1
79,2,0.83,0,2,29.0,2,1
80,3,30.0,0,0,12.47,2,0
81,3,22.0,0,0,9.0,2,1
82,3,29.0,0,0,9.5,2,1
83,3,27.9,0,0,7.79,1,0
84,1,28.0,0,0,47.1,2,1
85,2,17.0,0,0,10.5,2,0
86,3,33.0,3,0,15.85,2,0
87,3,16.0,1,3,34.38,2,1
88,3,30.7,0,0,8.05,2,1
89,1,23.0,3,2,263.0,2,0
90,3,24.0,0,0,8.05,2,1
91,3,29.0,0,0,8.05,2,1
92,3,20.0,0,0,7.85,2,1
93,1,46.0,1,0,61.17,2,1
94,3,26.0,1,2,20.57,2,1
95,3,59.0,0,0,7.25,2,1
96,3,30.7,0,0,8.05,2,1
97,1,71.0,0,0,34.65,0,1
98,1,23.0,0,1,63.36,0,1
99,2,34.0,0,1,23.0,2,0
100,2,34.0,1,0,26.0,2,1
101,3,28.0,0,0,7.9,2,0
102,3,30.7,0,0,7.9,2,1
103,1,21.0,0,1,77.29,2,1
104,3,33.0,0,0,8.65,2,1
105,3,37.0,2,0,7.92,2,1
106,3,28.0,0,0,7.9,2,1
107,3,21.0,0,0,7.65,2,0
108,3,30.7,0,0,7.78,2,1
109,3,38.0,0,0,7.9,2,1
110,3,27.9,1,0,24.15,1,0
111,1,47.0,0,0,52.0,2,1
112,3,14.5,1,0,14.45,0,0
113,3,22.0,0,0,8.05,2,1
114,3,20.0,1,0,9.82,2,0
115,3,17.0,0,0,14.46,0,0
116,3,21.0,0,0,7.92,2,1
117,3,70.5,0,0,7.75,1,1
118,2,29.0,1,0,21.0,2,1
119,1,24.0,0,1,247.52,0,1
120,3,2.0,4,2,31.27,2,0
121,2,21.0,2,0,73.5,2,1
122,3,30.7,0,0,8.05,2,1
123,2,32.5,1,0,30.07,0,1
124,2,32.5,0,0,13.0,2,0
125,1,54.0,0,1,77.29,2,1
126,3,12.0,1,0,11.24,0,1
127,3,30.7,0,0,7.75,1,1
128,3,24.0,0,0,7.14,2,1
129,3,27.9,1,1,22.36,0,0
130,3,45.0,0,0,6.97,2,1
131,3,33.0,0,0,7.9,0,1
132,3,20.0,0,0,7.05,2,1
133,3,47.0,1,0,14.5,2,0
134,2,29.0,1,0,26.0,2,0
135,2,25.0,0,0,13.0,2,1
136,2,23.0,0,0,15.05,0,1
137,1,19.0,0,2,26.28,2,0
138,1,37.0,1,0,53.1,2,1
139,3,16.0,0,0,9.22,2,1
140,1,24.0,0,0,79.2,0,1
141,3,27.9,0,2,15.25,0,0
142,3,22.0,0,0,7.75,2,0
143,3,24.0,1,0,15.85,2,0
144,3,19.0,0,0,6.75,1,1
145,2,18.0,0,0,11.5,2,1
146,2,19.0,1,1,36.75,2,1
147,3,27.0,0,0,7.8,2,1
148,3,9.0,2,2,34.38,2,0
149,2,36.5,0,2,26.0,2,1
150,2,42.0,0,0,13.0,2,1
151,2,51.0,0,0,12.53,2,1
152,1,22.0,1,0,66.6,2,0
153,3,55.5,0,0,8.05,2,1
154,3,40.5,0,2,14.5,2,1
155,3,30.7,0,0,7.31,2,1
156,1,51.0,0,1,61.38,0,1
157,3,16.0,0,0,7.73,1,0
158,3,30.0,0,0,8.05,2,1
159,3,30.7,0,0,8.66,2,1
160,3,30.7,8,2,69.55,2,1
161,3,44.0,0,1,16.1,2,1
162,2,40.0,0,0,15.75,2,0
163,3,26.0,0,0,7.78,2,1
164,3,17.0,0,0,8.66,2,1
165,3,1.0,4,1,39.69,2,1
166,3,9.0,0,2,20.52,2,1
167,1,27.9,0,1,55.0,2,0
168,3,45.0,1,4,27.9,2,0
169,1,30.7,0,0,25.93,2,1
170,3,28.0,0,0,56.5,2,1
171,1,61.0,0,0,33.5,2,1
172,3,4.0,4,1,29.12,1,1
173,3,1.0,1,1,11.13,2,0
174,3,21.0,0,0,7.92,2,1
175,1,56.0,0,0,30.7,0,1
176,3,18.0,1,1,7.85,2,1
177,3,30.7,3,1,25.47,2,1
178,1,50.0,0,0,28.71,0,0
